index	phase	kind	offset	operand
0	REFERENCE	W32	0x3000	0x5097020
1	REFERENCE	SLEEP	-	100
2	REFERENCE	W32	0x3000	0x1097020
3	REFERENCE	W32	0x3000	0x6096020
4	REFERENCE	SLEEP	-	100
5	REFERENCE	W32	0x3000	0x2096020
6	FINE_GAIN	W32	0x1058	0x0
7	CORE_GAIN	W32	0x3000	0x5150000
8	CORE_GAIN	SLEEP	-	100
9	CORE_GAIN	W32	0x3000	0x1150000
10	CORE_GAIN	W32	0x3000	0x5350000
11	CORE_GAIN	SLEEP	-	100
12	CORE_GAIN	W32	0x3000	0x1350000
13	CORE_GAIN	W32	0x3000	0x6150000
14	CORE_GAIN	SLEEP	-	100
15	CORE_GAIN	W32	0x3000	0x2150000
16	CORE_GAIN	W32	0x3000	0x6350000
17	CORE_GAIN	SLEEP	-	100
18	CORE_GAIN	W32	0x3000	0x2350000
19	CORE_GAIN	W32	0x3000	0x51d0000
20	CORE_GAIN	SLEEP	-	100
21	CORE_GAIN	W32	0x3000	0x11d0000
22	CORE_GAIN	W32	0x3000	0x53d0000
23	CORE_GAIN	SLEEP	-	100
24	CORE_GAIN	W32	0x3000	0x13d0000
25	CORE_GAIN	W32	0x3000	0x61d0000
26	CORE_GAIN	SLEEP	-	100
27	CORE_GAIN	W32	0x3000	0x21d0000
28	CORE_GAIN	W32	0x3000	0x63d0000
29	CORE_GAIN	SLEEP	-	100
30	CORE_GAIN	W32	0x3000	0x23d0000
31	CORE_GAIN	W32	0x3000	0x5250000
32	CORE_GAIN	SLEEP	-	100
33	CORE_GAIN	W32	0x3000	0x1250000
34	CORE_GAIN	W32	0x3000	0x5450000
35	CORE_GAIN	SLEEP	-	100
36	CORE_GAIN	W32	0x3000	0x1450000
37	CORE_GAIN	W32	0x3000	0x6250000
38	CORE_GAIN	SLEEP	-	100
39	CORE_GAIN	W32	0x3000	0x2250000
40	CORE_GAIN	W32	0x3000	0x6450000
41	CORE_GAIN	SLEEP	-	100
42	CORE_GAIN	W32	0x3000	0x2450000
43	CORE_GAIN	W32	0x3000	0x52d0000
44	CORE_GAIN	SLEEP	-	100
45	CORE_GAIN	W32	0x3000	0x12d0000
46	CORE_GAIN	W32	0x3000	0x54d0000
47	CORE_GAIN	SLEEP	-	100
48	CORE_GAIN	W32	0x3000	0x14d0000
49	CORE_GAIN	W32	0x3000	0x62d0000
50	CORE_GAIN	SLEEP	-	100
51	CORE_GAIN	W32	0x3000	0x22d0000
52	CORE_GAIN	W32	0x3000	0x64d0000
53	CORE_GAIN	SLEEP	-	100
54	CORE_GAIN	W32	0x3000	0x24d0000
55	STARY	W32	0x1574	0x1
56	STARY	SLEEP	-	20000
57	CORE_OFFSET	W32	0x3000	0x5140000
58	CORE_OFFSET	SLEEP	-	100
59	CORE_OFFSET	W32	0x3000	0x1140000
60	CORE_OFFSET	W32	0x3000	0x51c0000
61	CORE_OFFSET	SLEEP	-	100
62	CORE_OFFSET	W32	0x3000	0x11c0000
63	CORE_OFFSET	W32	0x3000	0x5240000
64	CORE_OFFSET	SLEEP	-	100
65	CORE_OFFSET	W32	0x3000	0x1240000
66	CORE_OFFSET	W32	0x3000	0x52c0000
67	CORE_OFFSET	SLEEP	-	100
68	CORE_OFFSET	W32	0x3000	0x12c0000
69	CORE_OFFSET	W32	0x3000	0x5340000
70	CORE_OFFSET	SLEEP	-	100
71	CORE_OFFSET	W32	0x3000	0x1340000
72	CORE_OFFSET	W32	0x3000	0x53c0000
73	CORE_OFFSET	SLEEP	-	100
74	CORE_OFFSET	W32	0x3000	0x13c0000
75	CORE_OFFSET	W32	0x3000	0x5440000
76	CORE_OFFSET	SLEEP	-	100
77	CORE_OFFSET	W32	0x3000	0x1440000
78	CORE_OFFSET	W32	0x3000	0x54c0000
79	CORE_OFFSET	SLEEP	-	100
80	CORE_OFFSET	W32	0x3000	0x14c0000
81	CORE_OFFSET	W32	0x3000	0x6140000
82	CORE_OFFSET	SLEEP	-	100
83	CORE_OFFSET	W32	0x3000	0x2140000
84	CORE_OFFSET	W32	0x3000	0x61c0000
85	CORE_OFFSET	SLEEP	-	100
86	CORE_OFFSET	W32	0x3000	0x21c0000
87	CORE_OFFSET	W32	0x3000	0x6240000
88	CORE_OFFSET	SLEEP	-	100
89	CORE_OFFSET	W32	0x3000	0x2240000
90	CORE_OFFSET	W32	0x3000	0x62c0000
91	CORE_OFFSET	SLEEP	-	100
92	CORE_OFFSET	W32	0x3000	0x22c0000
93	CORE_OFFSET	W32	0x3000	0x6340000
94	CORE_OFFSET	SLEEP	-	100
95	CORE_OFFSET	W32	0x3000	0x2340000
96	CORE_OFFSET	W32	0x3000	0x63c0000
97	CORE_OFFSET	SLEEP	-	100
98	CORE_OFFSET	W32	0x3000	0x23c0000
99	CORE_OFFSET	W32	0x3000	0x6440000
100	CORE_OFFSET	SLEEP	-	100
101	CORE_OFFSET	W32	0x3000	0x2440000
102	CORE_OFFSET	W32	0x3000	0x64c0000
103	CORE_OFFSET	SLEEP	-	100
104	CORE_OFFSET	W32	0x3000	0x24c0000
105	SAMPLE_DELAY	W32	0x3000	0x5040080
106	SAMPLE_DELAY	SLEEP	-	100
107	SAMPLE_DELAY	W32	0x3000	0x1040080
108	SAMPLE_DELAY	W32	0x3000	0x5058080
109	SAMPLE_DELAY	SLEEP	-	100
110	SAMPLE_DELAY	W32	0x3000	0x1058080
111	SAMPLE_DELAY	W32	0x3000	0x5048080
112	SAMPLE_DELAY	SLEEP	-	100
113	SAMPLE_DELAY	W32	0x3000	0x1048080
114	SAMPLE_DELAY	W32	0x3000	0x5058080
115	SAMPLE_DELAY	SLEEP	-	100
116	SAMPLE_DELAY	W32	0x3000	0x1058080
117	SAMPLE_DELAY	W32	0x3000	0x6040080
118	SAMPLE_DELAY	SLEEP	-	100
119	SAMPLE_DELAY	W32	0x3000	0x2040080
120	SAMPLE_DELAY	W32	0x3000	0x6058080
121	SAMPLE_DELAY	SLEEP	-	100
122	SAMPLE_DELAY	W32	0x3000	0x2058080
123	SAMPLE_DELAY	W32	0x3000	0x6048080
124	SAMPLE_DELAY	SLEEP	-	100
125	SAMPLE_DELAY	W32	0x3000	0x2048080
126	SAMPLE_DELAY	W32	0x3000	0x6058080
127	SAMPLE_DELAY	SLEEP	-	100
128	SAMPLE_DELAY	W32	0x3000	0x2058080
129	CLOCK_DELAY	W32	0x3000	0x5010000
130	CLOCK_DELAY	SLEEP	-	100
131	CLOCK_DELAY	W32	0x3000	0x1010000
132	CLOCK_DELAY	W32	0x3000	0x5810000
133	CLOCK_DELAY	SLEEP	-	100
134	CLOCK_DELAY	W32	0x3000	0x1810000
135	CLOCK_DELAY	SLEEP	-	100
136	CLOCK_DELAY	R32	0x3004	UNKNOWN
137	CLOCK_DELAY	W32	0x3000	0x6010000
138	CLOCK_DELAY	SLEEP	-	100
139	CLOCK_DELAY	W32	0x3000	0x2010000
140	CLOCK_DELAY	W32	0x3000	0x6810000
141	CLOCK_DELAY	SLEEP	-	100
142	CLOCK_DELAY	W32	0x3000	0x2810000
143	CLOCK_DELAY	SLEEP	-	100
144	CLOCK_DELAY	R32	0x3004	UNKNOWN
145	SYNC	W32	0x1000	0x0
146	SYNC	SLEEP	-	200
147	SYNC	W32	0x1000	0x2
148	SYNC	SLEEP	-	200
149	SYNC	W32	0x1000	0x0
