ordinal	index	mode	phase	addr	reg	command
0	0	0	assert	0x0063	0x0000	0x05630000
1	0	0	clear	0x0063	0x0000	0x01630000
2	0	1	assert	0x0063	0x0000	0x06630000
3	0	1	clear	0x0063	0x0000	0x02630000
4	1	0	assert	0x0060	0x0c08	0x05600c08
5	1	0	clear	0x0060	0x0c08	0x01600c08
6	1	1	assert	0x0060	0x0c08	0x06600c08
7	1	1	clear	0x0060	0x0c08	0x02600c08
8	2	0	assert	0x005f	0x0800	0x055f0800
9	2	0	clear	0x005f	0x0800	0x015f0800
10	2	1	assert	0x005f	0x0800	0x065f0800
11	2	1	clear	0x005f	0x0800	0x025f0800
12	3	0	assert	0x0000	0x0000	0x05000000
13	3	0	clear	0x0000	0x0000	0x01000000
14	3	1	assert	0x0000	0x0000	0x06000000
15	3	1	clear	0x0000	0x0000	0x02000000
16	4	0	assert	0x000a	0x00f8	0x050a00f8
17	4	0	clear	0x000a	0x00f8	0x010a00f8
18	4	1	assert	0x000a	0x00f8	0x060a00f8
19	4	1	clear	0x000a	0x00f8	0x020a00f8
20	5	0	assert	0x000e	0x00f8	0x050e00f8
21	5	0	clear	0x000e	0x00f8	0x010e00f8
22	5	1	assert	0x000e	0x00f8	0x060e00f8
23	5	1	clear	0x000e	0x00f8	0x020e00f8
24	6	0	assert	0x000f	0x0800	0x050f0800
25	6	0	clear	0x000f	0x0800	0x010f0800
26	6	1	assert	0x000f	0x0800	0x060f0800
27	6	1	clear	0x000f	0x0800	0x020f0800
28	7	0	assert	0x000d	0x510f	0x050d510f
29	7	0	clear	0x000d	0x510f	0x010d510f
30	7	1	assert	0x000d	0x510f	0x060d510f
31	7	1	clear	0x000d	0x510f	0x020d510f
32	8	0	assert	0x0000	0x0005	0x05000005
33	8	0	clear	0x0000	0x0005	0x01000005
34	8	1	assert	0x0000	0x0005	0x06000005
35	8	1	clear	0x0000	0x0005	0x02000005
36	9	0	assert	0x0001	0x0000	0x05010000
37	9	0	clear	0x0001	0x0000	0x01010000
38	9	1	assert	0x0001	0x0000	0x06010000
39	9	1	clear	0x0001	0x0000	0x02010000
40	10	0	assert	0x0002	0x0000	0x05020000
41	10	0	clear	0x0002	0x0000	0x01020000
42	10	1	assert	0x0002	0x0000	0x06020000
43	10	1	clear	0x0002	0x0000	0x02020000
44	11	0	assert	0x0003	0x0000	0x05030000
45	11	0	clear	0x0003	0x0000	0x01030000
46	11	1	assert	0x0003	0x0000	0x06030000
47	11	1	clear	0x0003	0x0000	0x02030000
48	12	0	assert	0x0004	0x0000	0x05040000
49	12	0	clear	0x0004	0x0000	0x01040000
50	12	1	assert	0x0004	0x0000	0x06040000
51	12	1	clear	0x0004	0x0000	0x02040000
52	13	0	assert	0x0005	0x0000	0x05050000
53	13	0	clear	0x0005	0x0000	0x01050000
54	13	1	assert	0x0005	0x0000	0x06050000
55	13	1	clear	0x0005	0x0000	0x02050000
56	14	0	assert	0x0006	0x06c3	0x050606c3
57	14	0	clear	0x0006	0x06c3	0x010606c3
58	14	1	assert	0x0006	0x06c3	0x060606c3
59	14	1	clear	0x0006	0x06c3	0x020606c3
60	15	0	assert	0x0007	0x0000	0x05070000
61	15	0	clear	0x0007	0x0000	0x01070000
62	15	1	assert	0x0007	0x0000	0x06070000
63	15	1	clear	0x0007	0x0000	0x02070000
64	16	0	assert	0x0008	0x000b	0x0508000b
65	16	0	clear	0x0008	0x000b	0x0108000b
66	16	1	assert	0x0008	0x000b	0x0608000b
67	16	1	clear	0x0008	0x000b	0x0208000b
